0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Imazol plus;Clotrimazolum + Hexamidini diisetionas;(10 mg + 2,5 mg)/g;krem;14901;Bezterminowe;Laboratoires Bailleul S.A.;MRP;D01AC01
Imbruvica;Ibrutinibum;140 mg;kapsułki twarde;;;Janssen-Cilag International N.V.;CEN;L01XE27
Imecitin;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;17401;Bezterminowe;Actavis Group PTC ehf.;DCP;J01DH51
Imigran;Sumatriptanum;20 mg/0,1 ml;aerozol do nosa, roztwór;04916;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran;Sumatriptanum;25 mg;czopki;09654;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran;Sumatriptanum;12 mg/ml;roztwór do wstrzykiwań;01515;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran;Sumatriptanum;100 mg;tabletki powlekane;01516;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran;Sumatriptanum;50 mg;tabletki powlekane;07381;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran FDT;Sumatriptanum;100 mg;tabletki powlekane/tabletki do sporządzania zawiesiny doustnej;12498;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imigran FDT;Sumatriptanum;50 mg;tabletki powlekane/tabletki do sporządzania zawiesiny doustnej;12497;Bezterminowe;GlaxoSmithKline Export Ltd;NAR;N02CC01
Imipenem + Cylastatyna ELC;Imipenemum + Cilastatinum;250 mg + 250 mg;proszek do sporządzania roztworu do infuzji;23735;2022-02-09;ELC Group s.r.o.;DCP;J01DH51
Imipenem + Cylastatyna ELC;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;23736;2022-02-09;ELC Group s.r.o.;DCP;J01DH51
Imipenem + Cylastatyna Ranbaxy;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;16832;Bezterminowe;Ranbaxy (Poland) Sp. z o.o.;DCP;J01DH51
Imipenem/Cilastatin ACIC;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;22842;2020-12-06;ACIC Europe Limited;DCP;J01DH51
Imipenem/Cilastatin Kabi 500 mg/500 mg;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;17381;Bezterminowe;Fresenius Kabi Polska Sp. z o.o.;DCP;J01DH51
Imipenemum + Cilastatinum Aurovitas;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;24044;2022-06-07;Aurovitas Pharma Polska Sp.z o.o.;DCP;J01D H51
Imipenemum/Cilastatinum Hospira;Imipenemum + Cilastatinum;500 mg + 500 mg;proszek do sporządzania roztworu do infuzji;17357;2017-05-13;Hospira UK Limited;DCP;J01DH51
Imlygic;Talimogenu laherparepwek;10^6 jednostek określających miano wirusa (PFU)/ml;roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;L01XX51
Imlygic;Talimogenu laherparepwek;10^8 jednostek określających miano wirusa (PFU)/ml;roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;L01XX51
Immunate 1000 IU FVIII/750 IU VWF;Factor VIII coagulationis humanus + Factor humanus von Willebrandi;1000 j.m/fiol. (100 j.m./ml);proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;12151;Bezterminowe;Shire Polska Sp. z o.o.;MRP;B02BD02
Immunate 250 IU FVIII/190 IU VWF;Factor VIII coagulationis humanus + Factor humanus von Willebrandi;250 j.m/fiol. (50 j.m./ml);proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;12150;Bezterminowe;Shire Polska Sp. z o.o.;MRP;B02BD02
Immunate 500 IU FVIII/375 IU VWF;Factor VIII coagulationis humanus + Factor humanus von Willebrandi;500 j.m/fiol. (100 j.m./ml;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;12154;Bezterminowe;Shire Polska Sp. z o.o.;MRP;B02BD02
Immunine 1200 IU;Factor IX coagulationis humanus;1200 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań lub infuzji;14615;Bezterminowe;Shire Polska Sp. z o.o.;MRP;B02BD04
Immunine 600 IU;Factor IX coagulationis humanus;600 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań lub infuzji;14541;Bezterminowe;Shire Polska Sp. z o.o.;MRP;B02BD04
Immunofort;Preparat ziołowy;-;płyn doustny;01599;Bezterminowe;"Przedsiębiorstwo Farmaceutyczne ""Leki Natury"" Tadeusz Polański";NAR;
Imnovid;Pomalidomidum;1 mg;kapsułki twarde;;;Celgene Europe Limited;CEN;L04AX06
Imnovid;Pomalidomidum;2 mg;kapsułki twarde;;;Celgene Europe Limited;CEN;L04AX06
Imnovid;Pomalidomidum;3 mg;kapsułki twarde;;;Celgene Europe Limited;CEN;L04AX06
Imnovid;Pomalidomidum;4 mg;kapsułki twarde;;;Celgene Europe Limited;CEN;L04AX06
Imodium;Loperamidi hydrochloridum;2 mg;kapsułki twarde;03215;2016-02-05;McNeil Products Limited C/O Johnson & Johnson Limited;NAR;A07DA03
Imodium;Loperamidi hydrochloridum;2 mg;kapsułki twarde;357/15;2017-02-05;InPharm Sp. z o.o.;IR;A07DA03
Imodium Instant;Loperamidi hydrochloridum;2 mg;Tabletka ulegająca rozpadowi w jamie ustnej;09091;Bezterminowe;McNeil Products Limited C/O Johnson & Johnson Limited;NAR;A07DA03
Imodium Multi-Action;Loperamidi hydrochloridum + Simeticonum;2 mg + 125 mg;tabletki do rozgryzania i żucia;09081;2016-02-01;McNeil Products Limited C/O Johnson & Johnson Limited;NAR;A07DA03
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;01722;Bezterminowe;Sanofi-Aventis France;NAR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;107/14;2019-03-12;Forfarm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;119/14;2019-04-06;Delfarma Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;45/15;2020-01-26;InPharm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;240/15;2020-05-19;Delfarma Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;259/15;2020-05-24;Pretium Farm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;658/15;2020-09-30;PharmaVitae Sp. z o.o. sp.k.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;721/15;2020-10-29;Delfarma Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;791/15;2020-11-26;InPharm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;158/16;2021-03-15;Forfarm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;190/16;2021-03-30;Forfarm Sp. z o.o.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;168/16;2021-03-23;PharmaVitae Sp. z o.o. sp. k.;IR;N05CF01
Imovane;Zopiclonum;7,5 mg;tabletki powlekane;224/16;2021-04-17;InPharm Sp. z o.o.;IR;N05CF01
Imovax Polio;Vaccinum poliomyelitidis inactivatum Szczepionka przeciw poliomyelitis, inaktywowana;0,5 ml;zawiesina do wstrzykiwań w ampułko-strzykawce;00502;Bezterminowe;Sanofi Pasteur;NAR;J07BF03
Implanon NXT;Etonogestrelum;68 mg;implant;21319;Bezterminowe;MSD Polska Sp. z o.o.;MRP;G03AC
Implicor;Metoprololi tartras + Ivabradinum;50 mg + 5 mg;tabletki powlekane;22801;2020-11-19;Les Laboratoires Servier;DCP;C01EB
Implicor;Metoprololi tartras + Ivabradinum;50 mg + 7,5 mg;tabletki powlekane;22802;2020-11-19;Les Laboratoires Servier;DCP;C01EB
Imprida;Amlodipinum + Valsartanum;10 mg + 160 mg;tabletki powlekane;;2017-04-03;Novartis Europharm Ltd.;CEN;C09DB01
Imprida;Amlodipinum + Valsartanum;5 mg + 160 mg;tabletki powlekane;;2017-04-03;Novartis Europharm Ltd.;CEN;C09DB01
Imprida;Amlodipinum + Valsartanum;5 mg + 80 mg;tabletki powlekane;;2017-04-03;Novartis Europharm Ltd.;CEN;C09DB01
Imraldi;Adalimumabum;40 mg;roztwór do wstrzykiwań w ampułko-strzykawce;;;Samsung Bioepis UK Limited;CEN;L04AB04
Imupret;Produkt złożony;-;tabletki drażowane;24290;2022-09-26;Bionorica SE;NAR;
Imupret N;Produkt ziołowy;;krople doustne;23554;2021-11-21;Bionorica SE;NAR;
Imuran;Azathioprinum;50 mg;proszek do sporządzania roztworu do wstrzykiwań;01443;2016-11-01;Aspen Pharma Trading Limited;NAR;L04AX01
Imuran;Azathioprinum;25 mg;tabletki powlekane;01442;Bezterminowe;Aspen Pharma Trading Limited;NAR;L04AX01
Imuran;Azathioprinum;50 mg;tabletki powlekane;02778;Bezterminowe;Aspen Pharma Trading Limited;NAR;L04AX01
Imvanex;Szczepionka przeciw ospie prawdziwej (żywy, zmodyfikowany wirus krowianki ze szczepu Ankara);(5 x 10^7 TCID50)/0,5 ml;zawiesina do wstrzykiwań;;;Bavarian Nordic A/S;CEN;J07BX
Incivo;Telaprevirum;375 mg;tabletki powlekane;;2016-08-22;Janssen-Cilag International N.V.;CEN;J05AE11
Increlex;Mecaserminum;10 mg/ml;roztwór do wstrzykiwań;;;Ipsen Pharma;CEN;H01AC03
Incresync;Alogliptinum + Pioglitazonum;25 mg + 45 mg;tabletki powlekane;;;Takeda Pharma A/S;CEN;A10BD09
Incresync;Alogliptinum + Pioglitazonum;25 mg + 30 mg;tabletki powlekane;;;Takeda Pharma A/S;CEN;A10BD09
Incresync;Alogliptinum + Pioglitazonum;12,5 mg + 45 mg;tabletki powlekane;;;Takeda Pharma A/S;CEN;A10BD09
Incresync;Alogliptinum + Pioglitazonum;12,5 mg + 30 mg;tabletki powlekane;;;Takeda Pharma A/S;CEN;A10BD09
Incruse;Umeclidinii bromidum;55 mcg;proszek do inhalacji;;;Glaxo Group Ltd;CEN;R03BB07
Indap;Indapamidum;2,5 mg;kapsułki twarde;11629;Bezterminowe;PRO.MED.CS Praha a.s.;NAR;C03BA11
Indapamide 1,5 mg SR Servier;Indapamidum;1,5 mg;tabletki powlekane o przedłużonym uwalnianiu;11501;Bezterminowe;Les Laboratoires Servier;MRP;C03BA11
Indapamide Krka;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;19872;Bezterminowe;Krka, d.d., Novo Mesto;MRP;C03BA11
Indapamide SR;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;14581;Bezterminowe;Mylan S.A.S.;NAR;C03BA11
Indapamide SR Genoptim;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;17117;2015-08-03;Synoptis Pharma Sp. z o.o.;DCP;C03BA11
Indapamidum 123ratio;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;12209;Bezterminowe;123ratio Sp. z o.o.;NAR;C03BA11
Indapen;Indapamidum;2,5 mg;tabletki powlekane;08630;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;C03BA11
Indapen SR;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;14890;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;C03BA11
Indapres;Indapamidum;2,5 mg;tabletki powlekane;09007;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;NAR;C03BA11
Indasis SR;Indapamidum;1,5 mg;tabletki powlekane o przedłużonym uwalnianiu;23183;2021-05-11;Mercapharm Sp. z o.o.;DCP;C03BA11
Indivina;Estradioli valeras + Medroxyprogesteroni acetas;1 mg + 2,5 mg;tabletki;10709;Bezterminowe;Orion Corporation;NAR;G03FA01
Indivina;Estradioli valeras + Medroxyprogesteroni acetas;2 mg + 5 mg;tabletki;10711;Bezterminowe;Orion Corporation;NAR;G03FA01
Indivina;Estradioli valeras + Medroxyprogesteroni acetas;1 mg + 5 mg;tabletki;10710;Bezterminowe;Orion Corporation;NAR;G03FA01
Indix Combi;Perindoprili tosilas + Indapamidum;2,5 mg + 0,625 mg;tabletki powlekane;20994;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;C09BA04
Indix Combi;Perindoprili tosilas + Indapamidum;5 mg + 1,25 mg;tabletki powlekane;20995;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;C09BA04
Indix Combi;Perindoprili tosilas + Indapamidum;10 mg + 2,5 mg;tabletki powlekane;23764;2022-02-21;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;C09BA04
Indix SR;Indapamidum;1,5 mg;tabletki o przedłużonym uwalnianiu;10250;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;C03BA11
Indocollyre 0,1%;Indometacinum;1 mg/ml;krople do oczu, roztwór;09881;Bezterminowe;Laboratoire Chauvin;NAR;S01BC01
Indocollyre 0,1%;Indometacinum;1 mg/ml;krople do oczu, roztwór;643/11;2016-12-13;Delfarma Sp. z o.o.;IR;S01BC01
Indocollyre 0,1%;Indometacinum;1 mg/ml;krople do oczu, roztwór;140/15;2020-03-23;InPharm Sp. z o.o.;IR;S01BC01
Indocollyre 0,1%;Indometacinum;1 mg/ml;krople do oczu, roztwór;587/15;2020-08-27;Pretium Farm Sp. z o.o.;IR;S01BC01
InductOs;Diboterminum alfa;1,5 mg/ml;zestaw do implantacji;;;Medtronic BioPharma B.V.;CEN;M05BC01
Indywidualny Zestaw Autostrzykawek Przeciwko Bojowym Środkom Trującym IZAS-05;Atropini sulfas + Diazepamum+ Pralidoximi chloridum;"Autostrzykawka Atorpina: 2 mg/2 ml
Autostrzykawka Diazepam: 10 mg/2 ml
Autostrzykawka Pralidoksym + Atropina: 600 mg/2 ml + 2 mg/2 ml";roztwór do wstrzykiwań;21615;2018-12-15;ZPSM Ravimed Sp. z o.o.;NAR;V03AB
Inegy;Ezetimibum + Simvastatinum;10 mg + 80 mg;tabletki;12526;Bezterminowe;Merck Sharp & Dohme Ltd.;MRP;C10BA02
Inegy;Ezetimibum + Simvastatinum;10 mg + 40 mg;tabletki;12525;Bezterminowe;Merck Sharp & Dohme Ltd.;MRP;C10BA02
Inegy;Ezetimibum + Simvastatinum;10 mg + 20 mg;tabletki;12524;Bezterminowe;Merck Sharp & Dohme Ltd.;MRP;C10BA02
Inegy;Ezetimibum + Simvastatinum;10 mg + 10 mg;tabletki;12523;Bezterminowe;Merck Sharp & Dohme Ltd.;MRP;C10BA02
Inevica;Ivabradinum;5 mg;tabletki powlekane;24118;2022-07-14;Actavis Group PTC ehf.;DCP;C01EB17
Inevica;Ivabradinum;7,5 mg;tabletki powlekane;24119;2022-07-14;Actavis Group PTC ehf.;DCP;C01EB17
Infacol;Simeticonum;40 mg/ml;zawiesina doustna;04907;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;A03AX13
Infacol;Simeticonum;40 mg/ml;zawiesina doustna;119/10;2015-09-13;Delfarma Sp. z o.o.;IR;
Infanrix - DTPa;Vaccinum diphtheriae, tetani, pertussis sine cellulis ex elementis praeparatum adsorbatum Szczepionka przeciwko błonicy, tężcowi, krztuścowi (bezkomórkowa, złożona), adsorbowana;1 dawka (0,5 ml);zawiesina do wstrzykiwań;07843;Bezterminowe;GlaxoSmithKline Biologicals S.A.;NAR;J07AJ52
Infanrix - IPV + Hib;"Szczepionka przeciw błonicy, tężcowi, krztuścowi (bezkomórkowa, złożona), poliomyelitis
(inaktywowana) i haemophilus typ b (skoniugowana), adsorbowana";1 dawka (0,5 ml);proszek i zawiesina do sporządzania zawiesiny do wstrzykiwań;08916;Bezterminowe;GlaxoSmithKline Biologicals S.A.;NAR;J07CA06
Infanrix hexa;Szczepionka przeciwko błonicy (D), tężcowi (T), krztuścowi (komponenta acelularna) (Pa), wirusowemu zapaleniu wątroby typu B (rDNA) (HBV), poliomyelitis (inaktywowana) (IPV) i przeciwko Haemophilus influenzae typ b (Hib)skoniugowana (adsorbowana);-;zawiesina i proszek do sporządzania zawiesiny do wstrzykiwań;;;GlaxoSmithKline Biologicals S.A.;CEN;J07CA09
Infanrix-IPV;Szczepionka przeciw błonicy, tężcowi, krztuścowi (bezkomórkowa, złożona) i poliomyelitis (inaktywowana), adsorbowana;1 dawka (0,5 ml);zawiesina do wstrzykiwań;11884;Bezterminowe;GlaxoSmithKline Biologicals S.A.;MRP;J07CA02
InfectoFos;Fosfomycinum;40 mg/ml;proszek do sporządzania roztworu do infuzji;23243;2021-05-31;Infectopharm Arzneimittel und Consilium GmbH;DCP;J01XX01
Infectoscab 5% krem;Permethrinum;50 mg/g;krem;12813;Bezterminowe;Infectopharm Arzneimittel GmbH;MRP;P03AC04
Infex Zatoki;Ibuprofenum + Pseudoephedrini hydrochloridum;200 mg + 30 mg;tabletki powlekane;22111;2019-09-30;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;R01BA52
Inflectra;Infliximabum;100 mg;proszek do sporządzania koncentratu roztworu do infuzji;;;Hospira UK Limited;CEN;L04AB02
Influvac;Vaccinum influenzae inactivatum ex corticis antigeniis praeparatum Szczepionka przeciw grypie (antygen powierzchniowy), inaktywowana;15 mcg hemaglutyniny pochodzącej ze szczepu wirusa grypy A (H1N1), 15 mcg hemaglutyniny pochodzącej ze szczepu wirusa grypy A (H3N2), 15 mcg hemaglutyniny pochodzącej ze szczepu wirusa grypy B/0,5 ml;zawiesina do wstrzykiwań;06473;Bezterminowe;BGP Products B.V.;NAR;J07BB02
Influvac Tetra;Vaccinum influenzae inactivatum ex corticis antigeniis praeparatum Szczepionka przeciw grypie (antygen powierzchniowy), inaktywowana;-;zawiesina do wstrzykiwań w ampułko-strzykawce;24272;2022-09-14;Mylan IRE Healthcare Ltd;DCP;J07BB02
Inhafort;Formoteroli fumaras dihydricus;12 mcg;proszek do inhalacji w kapsułkach twardych;22466;2020-05-24;Exeltis Poland Sp. z o.o.;DCP;R03AC13
Inhalol;Preparat złożony;-;płyn do sporządzania inhalacji parowej;00734;Bezterminowe;"Przedsiębiorstwo Produkcji Farmaceutyczno-Kosmetycznej ""PROFARM"" Sp. z o.o.";NAR;
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;00971;Bezterminowe;Roche Polska Sp. z o.o.;MRP;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;01311;Bezterminowe;Roche Polska Sp. z o.o.;MRP;C09AA08
Inhibace;Cilazaprilum;0,5 mg;tabletki powlekane;00969;2017-03-31;Roche Polska Sp. z o.o.;MRP;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;268/09;2019-12-06;InPharm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;433/11;2021-10-18;Delfarma Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;1 mg;tabletki powlekane;00970;Bezterminowe;Roche Polska Sp. z o.o.;MRP;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;68/11;2021-03-28;Forfarm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;409/11;2021-10-18;Delfarma Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;449/11;2016-10-24;Blau Farma Group Sp. z o.o. - S.K.A.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;140/12;2017-03-14;Avrentim Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;155/12;2017-03-25;Storkpharm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;281/12;2022-05-28;Forfarm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;936/12;2022-12-31;Pretium Farm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;263/14;2019-08-04;InPharm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;2/15;2020-01-04;ICHEM Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;3/15;2020-01-04;ICHEM Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;150/15;2020-03-30;Pretium Farm Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;224/15;2020-05-10;PharmaVitae Sp. z o.o. sp.k.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;233/15;2020-05-17;PharmaVitae Sp. z o.o. sp. k.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;823/15;2020-12-16;IVA PHARM Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;2,5 mg;tabletki powlekane;822/15;2020-12-16;IVA PHARM Sp. z o.o.;IR;C09AA08
Inhibace;Cilazaprilum;5 mg;tabletki powlekane;393/17;2022-11-29;ModumPharma Sp. z o.o.;IR;C09AA08
Inhibace Plus;Cilazaprilum + Hydrochlorothiazidum;5 mg + 12,5 mg;tabletki powlekane;08207;Bezterminowe;Roche Polska Sp. z o.o.;MRP;C09BA08
Inhixa;Enoxaparinum natricum;2000 j.m. (20 mg);roztwór do wstrzykiwań;;;Techdow Europe AB;CEN;B01AB05
Inhixa;Enoxaparinum natricum;4000 j.m. (40 mg);roztwór do wstrzykiwań;;;Techdow Europe AB;CEN;B01AB05
Inhixa;Enoxaparinum natricum;6000 j.m. (60 mg);roztwór do wstrzykiwań;;;Techdow Europe AB;CEN;B01AB05
Inhixa;Enoxaparinum natricum;8000 j.m. (80 mg);roztwór do wstrzykiwań;;;Techdow Europe AB;CEN;B01AB05
Inhixa;Enoxaparinum natricum;10000 j.m. (100 mg);roztwór do wstrzykiwań;;;Techdow Europe AB;CEN;B01AB05
Inj. Magnesii Sulfurici 20% Polpharma;Magnesii sulfas;200 mg/ml;roztwór do wstrzykiwań;00445;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;B05XA05
Inj. Natrii chlorati 10% Polpharma;Natrii chloridum;100 mg/ml;koncentrat do sporządzania roztworu do infuzji;03202;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;B05XA03
Injectio Glucosi  5% et Natrii chlorati 0,9% 1:1 Baxter;Glucosum + Natrii chloridum;(25 mg + 4,5 mg)/ml;roztwór do infuzji;01903;Bezterminowe;Baxter Polska Sp. z o.o.;NAR;B05BB02
Injectio Glucosi 10% Baxter;Glucosum;100 mg/ml;roztwór do infuzji;16869;Bezterminowe;Baxter Polska Sp. z o.o.;MRP;B05BA03
Injectio Glucosi 5 % + Natrii Chlorati 0,9 % 2:1 Viaflo;Natrii chloridum + Glucosum;(3 mg + 33 mg)/ml;roztwór do infuzji;18350;2016-06-13;Baxter Polska Sp. z o.o.;MRP;B05BB02
Injectio Glucosi 5% Baxter;Glucosum anhydricum;50 mg/ml;roztwór do infuzji;11928;Bezterminowe;Baxter Polska Sp. z o.o.;MRP;B05BA
Injectio Glucosi 5% et Natrii chlorati 0,9% 2:1 Baxter;Glucosum + Natrii chloridum;(33,3 mg + 3 mg)/ml;roztwór do infuzji;01904;2018-02-23;Baxter Polska Sp. z o.o.;NAR;B05BB02
Injectio Natrii chlorati isotonica Polpharma;Natrii chloridum;9 mg/ml;roztwór do wstrzykiwań;02484;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;B05BB01
Injectio Solutionis Ringeri Baxter;Natrii chloridum + Kalii chloridum + Calcii chloridum dihydricum;(8,6 mg + 0,3 mg + 0,32 mg)/ml;roztwór do infuzji;01912;2018-01-10;Baxter Polska Sp. z o.o.;NAR;B05BB01
Inlyta;Axitinibum;3 mg;tabletki powlekane;;;Pfizer Limited;CEN;L01XE17
Inlyta;Axitinibum;7 mg;tabletki powlekane;;;Pfizer Limited;CEN;L01XE17
Inlyta;Axitinibum;1 mg;tabletki powlekane;;;Pfizer Limited;CEN;L01XE17
Inlyta;Axitinibum;5 mg;tabletki powlekane;;;Pfizer Limited;CEN;L01XE17
Innovate 1000 j.m ;Factor VIII coagulationis humanus. Czynnik VIII krzepnięcia krwi ludzki.;1000 j.m;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;20791;2017-12-06;BIOMED-LUBLIN Wytwórnia Surowic i Sczepionek S.A.;NAR;B02BD02
INOmax;Nitrogenii oxidum;400 ppm mol/mol;gaz do inhalacji;;;Linde Healthcare AB;CEN;R07AX01
INOmax;Nitrogenii oxidum;800 ppm mol/mol;gaz do inhalacji;;;Linde Healthcare AB;CEN;R07AX01
Inovelon;Rufinamidum;100 mg;tabletki powlekane;;;Eisai Limited;CEN;N03AF03
Inovelon;Rufinamidum;200 mg;tabletki powlekane;;;Eisai Limited;CEN;N03AF03
Inovelon;Rufinamidum;400 mg;tabletki powlekane;;;Eisai Limited;CEN;N03AF03
Inovelon;Rufinamidum;40 mg/ml;zawiesina doustna;;;Eisai Limited;CEN;N03AF03
Inovox Express smak miętowy;Lidocainum + Amylmetacresolum + Alcohol benzylicus;2 mg + 0,6 mg + 1,2 mg;pastylki twarde;22748;2020-10-14;US Pharmacia Sp. z o.o.;DCP;R02AA20
Inovox Express smak miodowo-cytrynowy;Lidocainum + Amylmetacresolum + Alcohol benzylicus;2 mg + 0,6 mg + 1,2 mg;pastylki twarde;22750;2020-10-14;US Pharmacia Sp. z o.o.;DCP;R02AA20
Inovox Express smak pomarańczowy;Lidocainum + Amylmetacresolum + Alcohol benzylicus;2 mg + 0,6 mg + 1,2 mg;pastylki twarde;22749;2020-10-14;US Pharmacia Sp. z o.o.;DCP;R02AA20
Inspra;Eplerenonum;25 mg;tabletki powlekane;12290;Bezterminowe;Pfizer Europe MA EEIG;MRP;C09DA04
Inspra;Eplerenonum;50 mg;tabletki powlekane;12291;Bezterminowe;Pfizer Europe MA EEIG;MRP;C09DA04
Instanyl;Fentanylum;50 mcg/dawkę;aerozol do nosa, roztwór;;;Takeda Pharma A/S;CEN;N02AB03
Instanyl;Fentanylum;100 mcg/dawkę;aerozol do nosa, roztwór;;;Takeda Pharma A/S;CEN;N02AB03
Instanyl;Fentanylum;200 mcg/dawkę;aerozol do nosa, roztwór;;;Takeda Pharma A/S;CEN;N02AB03
Insulatard;Insulinum humanum;100 j.m/ml;zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AC01
Insulatard;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AC01
Insulatard FlexPen;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AC01
Insulatard Innolet;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AC01
Insulatard Penfill;Insulinum humanum;100 j.m./ml;zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AC01
Insulin Human Winthrop Basal;Insulinum humanum;40 j.m./ml;zawiesina do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB01
